TeamId,TeamName,SubmissionDate,Score
366180,Roman,"2016-09-01 19:11:51",0.14372
366482,SeaBreeze,"2016-09-02 15:50:24",0.14074
367116,"Russ Boucher","2016-09-04 02:46:17",0.12319
367190,"Yair Beer","2016-09-04 08:13:29",0.16013
367190,"Yair Beer","2016-09-04 08:28:14",0.14798
367190,"Yair Beer","2016-09-04 11:09:04",0.14677
367190,"Yair Beer","2016-09-04 13:37:26",0.12638
367190,"Yair Beer","2016-09-04 13:47:54",0.12559
367116,"Russ Boucher","2016-09-04 15:34:12",0.12241
367116,"Russ Boucher","2016-09-04 21:54:14",0.12220
367190,"Yair Beer","2016-09-05 02:37:16",0.12273
367190,"Yair Beer","2016-09-05 02:46:09",0.12218
367190,"Yair Beer","2016-09-05 02:47:21",0.12207
367190,"Yair Beer","2016-09-05 02:49:01",0.12202
367190,"Yair Beer","2016-09-05 02:49:59",0.12197
367716,Morgans,"2016-09-05 15:48:53",0.13511
367190,"Yair Beer","2016-09-06 05:03:43",0.12152
367716,Morgans,"2016-09-06 09:17:12",0.13430
367716,Morgans,"2016-09-06 09:20:16",0.13108
367190,"Yair Beer","2016-09-06 15:39:14",0.12135
368130,"Chau Nguyen","2016-09-06 15:50:13",0.17453
368130,"Chau Nguyen","2016-09-06 15:54:43",0.15732
367716,Morgans,"2016-09-06 16:13:56",0.12542
368130,"Chau Nguyen","2016-09-06 16:57:52",0.15276
368130,"Chau Nguyen","2016-09-06 17:07:06",0.15080
367716,Morgans,"2016-09-07 10:46:18",0.12460
367116,"Russ Boucher","2016-09-07 15:06:55",0.12193
367716,Morgans,"2016-09-07 19:55:59",0.12412
367716,Morgans,"2016-09-07 22:47:04",0.12378
367716,Morgans,"2016-09-12 06:02:06",0.12137
367116,"Russ Boucher","2016-09-12 15:54:53",0.11905
367716,Morgans,"2016-09-13 10:51:06",0.12117
367116,"Russ Boucher","2016-09-15 19:00:39",0.11905
367116,"Russ Boucher","2016-09-15 19:01:57",0.11889
367116,"Russ Boucher","2016-09-19 14:09:54",0.11866
367116,"Russ Boucher","2016-09-19 14:11:59",0.11803
367116,"Russ Boucher","2016-09-22 18:27:08",0.11764
375008,IoA_WolfPack,"2016-09-23 13:50:34",0.12672
367116,"Russ Boucher","2016-09-23 17:38:35",0.11757
375508,DHRN,"2016-09-24 17:39:01",0.12391
375509,GMan123,"2016-09-24 17:49:16",0.27920
375509,GMan123,"2016-09-24 19:35:10",0.14636
375509,GMan123,"2016-09-24 20:00:37",0.14629
375008,IoA_WolfPack,"2016-09-26 14:30:56",0.12549
375008,IoA_WolfPack,"2016-09-28 12:44:38",0.12329
367116,"Russ Boucher","2016-09-28 15:31:38",0.11757
368130,"Chau Nguyen","2016-09-30 03:31:14",0.15047
368130,"Chau Nguyen","2016-10-01 14:55:07",0.15042
375509,GMan123,"2016-10-24 19:18:37",0.13739
375509,GMan123,"2016-10-24 20:05:19",0.13523
367716,Morgans,"2016-10-26 16:27:51",0.11793
367716,Morgans,"2016-10-26 22:33:21",0.11703
367716,Morgans,"2016-10-27 06:15:46",0.11683
367716,Morgans,"2016-10-27 15:01:58",0.11583
375509,GMan123,"2016-10-28 20:10:44",0.13049
367716,Morgans,"2016-10-31 14:25:12",0.11540
396486,"Vishwadeep Gautam","2016-10-31 16:53:08",0.12086
367716,Morgans,"2016-11-01 09:52:01",0.11540
367716,Morgans,"2016-11-01 09:52:41",0.11533
367716,Morgans,"2016-11-01 09:54:03",0.11516
367716,Morgans,"2016-11-01 10:19:02",0.11503
367716,Morgans,"2016-11-07 08:28:51",0.11475
367716,Morgans,"2016-11-07 08:30:18",0.11471
367716,Morgans,"2016-11-07 08:32:44",0.11456
405080,"Jakub Chmiel","2016-11-13 08:41:26",0.14714
367116,"Russ Boucher","2016-11-14 20:55:21",0.11392
409901,"Anand Kumaresh","2016-11-17 17:00:02",0.12101
411499,R-minator,"2016-11-19 19:46:04",0.13221
376559,C1-7,"2016-11-20 13:51:11",0.38588
376559,C1-7,"2016-11-20 14:10:58",0.17377
367116,"Russ Boucher","2016-11-25 15:23:55",0.11330
367116,"Russ Boucher","2016-11-25 15:27:11",0.11306
415739,Retroacted,"2016-11-26 18:03:49",0.14728
415739,Retroacted,"2016-11-26 18:19:14",0.14036
415767,TheJuniorLebowski,"2016-11-26 18:48:07",0.14974
415739,Retroacted,"2016-11-26 21:02:10",0.13137
367116,"Russ Boucher","2016-12-09 13:43:10",0.11300
432473,"Nick Styles","2016-12-15 09:30:32",0.13165
432901,marcobr,"2016-12-15 22:54:14",0.25161
432901,marcobr,"2016-12-15 23:23:42",0.14935
432901,marcobr,"2016-12-16 09:31:10",0.14149
432901,marcobr,"2016-12-16 12:04:52",0.13448
435524,"Prajit Datta","2016-12-20 12:38:59",0.12617
435524,"Prajit Datta","2016-12-20 12:40:27",0.12086
435847,"Max Karachun","2016-12-20 23:04:29",0.16869
435524,"Prajit Datta","2016-12-21 05:50:49",0.11438
435847,"Max Karachun","2016-12-21 20:42:16",0.15280
435847,"Max Karachun","2016-12-22 06:33:05",0.15200
435847,"Max Karachun","2016-12-22 21:33:13",0.14196
436988,Fersebas,"2016-12-23 11:46:53",0.12431
435847,"Max Karachun","2016-12-23 20:22:19",0.13964
435847,"Max Karachun","2016-12-25 18:30:10",0.12726
436988,Fersebas,"2016-12-26 00:34:01",0.12122
435847,"Max Karachun","2016-12-27 21:33:48",0.12475
436988,Fersebas,"2016-12-28 00:28:52",0.11834
435847,"Max Karachun","2016-12-28 18:37:52",0.12099
441364,"Doron Rippel","2017-01-01 13:51:10",0.28117
441364,"Doron Rippel","2017-01-01 14:36:30",0.23970
441364,"Doron Rippel","2017-01-01 14:40:48",0.22862
441364,"Doron Rippel","2017-01-01 14:43:39",0.22578
441364,"Doron Rippel","2017-01-02 10:15:14",0.22367
375509,GMan123,"2017-01-03 02:37:00",0.12663
441364,"Doron Rippel","2017-01-03 07:19:45",0.21518
441364,"Doron Rippel","2017-01-03 09:03:18",0.21504
441364,"Doron Rippel","2017-01-03 11:44:04",0.21410
441364,"Doron Rippel","2017-01-04 05:32:12",0.21357
441364,"Doron Rippel","2017-01-04 05:49:43",0.18083
441364,"Doron Rippel","2017-01-09 17:42:48",0.15447
441364,"Doron Rippel","2017-01-10 10:33:19",0.15384
446357,"Anatoly Korzun","2017-01-11 07:37:32",0.20903
446357,"Anatoly Korzun","2017-01-11 08:34:46",0.20634
446357,"Anatoly Korzun","2017-01-11 15:47:09",0.17922
446357,"Anatoly Korzun","2017-01-12 16:15:45",0.15104
446357,"Anatoly Korzun","2017-01-13 09:01:10",0.14794
446357,"Anatoly Korzun","2017-01-13 11:47:30",0.13899
449935,TheMaorinho,"2017-01-15 16:48:52",0.40890
446357,"Anatoly Korzun","2017-01-15 16:58:07",0.12503
446357,"Anatoly Korzun","2017-01-16 05:31:27",0.12496
441364,"Doron Rippel","2017-01-16 15:51:26",0.15211
441364,"Doron Rippel","2017-01-19 15:38:44",0.14887
441364,"Doron Rippel","2017-01-19 15:45:52",0.14648
441364,"Doron Rippel","2017-01-20 07:34:28",0.14067
441364,"Doron Rippel","2017-01-31 05:29:56",0.13840
441364,"Doron Rippel","2017-02-02 05:35:46",0.12980
441364,"Doron Rippel","2017-02-03 06:27:56",0.12949
441364,"Doron Rippel","2017-02-03 06:32:07",0.12917
441364,"Doron Rippel","2017-02-03 06:33:05",0.12587
396486,"Vishwadeep Gautam","2017-02-04 04:45:04",0.11563
446357,"Anatoly Korzun","2017-02-05 12:05:16",0.12443
441364,"Doron Rippel","2017-02-06 07:03:12",0.12562
468819,"Sergii Lutsanych, Ph.D.","2017-02-06 10:59:15",0.11484
468819,"Sergii Lutsanych, Ph.D.","2017-02-06 11:05:29",0.11480
446357,"Anatoly Korzun","2017-02-07 07:51:34",0.12250
446357,"Anatoly Korzun","2017-02-07 14:44:34",0.12229
441364,"Doron Rippel","2017-02-08 09:37:00",0.12552
470436,codlife,"2017-02-09 03:20:55",0.13426
470436,codlife,"2017-02-09 03:57:36",0.12086
441364,"Doron Rippel","2017-02-09 05:45:13",0.12527
473091,DavidYang,"2017-02-09 11:05:57",0.75090
473091,DavidYang,"2017-02-09 11:12:36",0.16610
473091,DavidYang,"2017-02-09 21:16:11",0.13712
470436,codlife,"2017-02-10 14:41:17",0.11623
473091,DavidYang,"2017-02-10 22:50:28",0.13172
473091,DavidYang,"2017-02-10 23:37:47",0.13018
468819,"Sergii Lutsanych, Ph.D.","2017-02-11 16:16:10",0.11479
446357,"Anatoly Korzun","2017-02-14 11:30:45",0.12094
463844,"AK Huang","2017-02-16 21:00:41",0.14892
463844,"AK Huang","2017-02-17 18:17:07",0.14661
463844,"AK Huang","2017-02-17 18:49:57",0.14579
468819,"Sergii Lutsanych, Ph.D.","2017-02-17 22:27:23",0.11473
446357,"Anatoly Korzun","2017-02-18 09:07:51",0.11868
492490,JustonSong,"2017-02-19 13:44:40",0.12248
446357,"Anatoly Korzun","2017-02-19 17:55:00",0.11828
463844,"AK Huang","2017-02-20 01:59:11",0.13121
446357,"Anatoly Korzun","2017-02-20 06:53:02",0.11785
441364,"Doron Rippel","2017-02-20 10:56:41",0.12390
446357,"Anatoly Korzun","2017-02-20 18:46:19",0.11770
468819,"Sergii Lutsanych, Ph.D.","2017-02-21 13:04:55",0.11467
481318,CSE371,"2017-02-21 18:14:20",0.14857
481318,CSE371,"2017-02-21 18:17:35",0.14766
481318,CSE371,"2017-02-22 13:11:33",0.14539
481318,CSE371,"2017-02-22 14:29:40",0.12774
441364,"Doron Rippel","2017-02-22 18:42:27",0.12383
446357,"Anatoly Korzun","2017-02-23 18:33:37",0.11762
468819,"Sergii Lutsanych, Ph.D.","2017-02-23 20:26:23",0.11451
468819,"Sergii Lutsanych, Ph.D.","2017-02-23 21:01:39",0.11435
463844,"AK Huang","2017-02-24 22:02:18",0.12251
441364,"Doron Rippel","2017-02-26 19:05:24",0.12325
446357,"Anatoly Korzun","2017-02-27 06:11:08",0.11756
481318,CSE371,"2017-02-28 15:21:19",0.11740
481318,CSE371,"2017-02-28 15:39:34",0.11466
415739,Retroacted,"2017-02-28 21:07:24",0.13034
441364,"Doron Rippel","2017-03-01 05:25:42",0.11919
441364,"Doron Rippel","2017-03-01 05:33:59",0.11559
415739,Retroacted,"2017-03-01 06:44:16",0.12908
481318,CSE371,"2017-03-01 08:14:52",0.11385
511748,"Daniel Marcous","2017-03-01 14:16:19",0.11432
372778,jwebb,"2017-03-02 23:29:18",0.15736
441364,"Doron Rippel","2017-03-07 09:07:40",0.11509
441364,"Doron Rippel","2017-03-09 12:04:10",0.11462
441364,"Doron Rippel","2017-03-09 12:08:19",0.11452
441364,"Doron Rippel","2017-03-09 12:12:41",0.11444
441364,"Doron Rippel","2017-03-10 21:43:39",0.11443
441364,"Doron Rippel","2017-03-10 21:54:19",0.11443
441364,"Doron Rippel","2017-03-11 10:04:00",0.11443
535728,"Andrii Bereznikov","2017-03-12 19:29:25",0.24983
535728,"Andrii Bereznikov","2017-03-12 20:06:50",0.20721
535728,"Andrii Bereznikov","2017-03-12 20:08:23",0.20704
525896,zhaojackie,"2017-03-15 07:03:35",0.19823
441364,"Doron Rippel","2017-03-20 07:55:25",0.11421
